danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.649,0.622,9,-6.781,0,0.0373,0.156,4.29e-06,0.11,0.62,76.478,6uFwhB7gVs7ExCAfJD5BWg,168640,4
0.626,0.202,4,-12.963,1,0.0316,0.772,0.0,0.116,0.554,108.883,7JQet6yCd8rZX3oeVGqAyx,221693,4
0.484,0.414,7,-10.377,1,0.0335,0.284,0.0,0.119,0.467,143.57,1goUT7yXysKORNNkcxtpxk,186693,4
0.501,0.987,7,-2.914,1,0.116,0.0163,2.17e-05,0.184,0.418,149.952,6qxpzKPmnYEetfTV7upw1V,200893,4
0.3,0.816,11,-11.512,0,0.098,0.00121,0.0366,0.171,0.634,196.378,51wZeWdtnIHtnvnAlXlonu,96347,4
0.193,0.799,11,-11.129,0,0.133,0.000158,5.54e-05,0.108,0.667,172.441,79CSCjcf1vNJ7kdHHVmi3R,119693,4
0.787,0.567,0,-4.767,1,0.179,0.0693,0.0,0.161,0.917,133.914,7ee1XEOzZgzTQWNaiHZvKY,153413,4
0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,2EM9zpAc7PVeoAydmbfVIL,216707,4
0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,51R2M1JgyFfRS3e6v5wCt3,149173,4
0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,00SmB7n85SKROGjybsyq5i,158427,4
0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,6b37xrsNCWYIUphFBazqD6,239987,4
0.76,0.579,5,-5.079,0,0.0388,0.00715,0.000679,0.0304,0.975,99.979,1leXuBiWQMgbvOIIedqbLB,223187,4
0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,6Z8R6UsFuGXGtiIxiD8ISb,192790,5
0.742,0.689,6,-5.889,0,0.0495,0.308,0.000344,0.389,0.73,90.973,6T5ACM2wNQ0w1OptHMpsCD,222418,4
0.637,0.714,6,-4.273,1,0.0279,0.0258,0.0,0.11,0.931,131.789,5IAnpcduSb35yKUKsUVjP9,197027,4
0.526,0.851,2,-5.128,1,0.0458,0.0142,0.251,0.111,0.499,110.104,0uFBtCRA9ZkL9KmElxz6Lt,227147,4
0.438,0.558,0,-6.479,1,0.031,0.0438,5.41e-06,0.604,0.225,80.602,4JUEYZ2yBfHsB1W9yhJmDF,309280,4
0.779,0.447,8,-8.127,1,0.0361,0.634,0.000897,0.0728,0.776,100.016,3z0gMr1mwuFNiD1maIAsNj,194142,4
0.523,0.626,0,-9.425,1,0.0523,0.155,0.0,0.0869,0.917,134.127,383Xl5QTigwj3QiA3Qc6S7,214867,4
0.196,0.941,2,-4.016,1,0.0814,0.0114,0.0108,0.15,0.58,71.903,1EXfR9HR6cM1y6qagNQW4g,144800,4
0.521,0.297,2,-7.022,1,0.0351,0.732,0.0,0.273,0.517,118.681,4BVzMXl6fgEC82DpjTZD0T,123667,4
0.39,0.914,2,-4.143,1,0.0759,0.0574,5.18e-05,0.108,0.344,104.259,0OUKJBWS2IhHmVIxACwZzp,246867,4
0.521,0.297,2,-7.022,1,0.0351,0.732,0.0,0.273,0.517,118.681,3USOTQdPtZlgVurwaqsdI5,123667,4
0.501,0.796,0,-4.599,1,0.104,0.107,0.000974,0.539,0.582,130.719,7lFgli7y2vo7sjgynHZzBP,254347,4
0.365,0.767,9,-6.185,0,0.0681,0.181,0.000856,0.0942,0.422,94.174,6crBy2sODw2HS53xquM6us,248053,4
0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,2TktkzfozZifbQhXjT6I33,216680,3
0.295,0.899,9,-1.733,1,0.0965,0.000715,0.000253,0.364,0.826,179.209,6XelYgwWSqRpwMs15BgGYM,118653,4
0.64,0.833,4,-5.543,1,0.0304,0.00283,0.0,0.255,0.871,126.069,0avaVpOJTKyV87oMmjVMXw,153840,4
0.626,0.955,6,-4.466,0,0.0766,0.0404,0.0,0.256,0.969,172.597,4jjnhkhjaZHp3OtKbyR5f1,144133,4
0.558,0.921,0,-6.849,1,0.0478,0.00217,0.000175,0.389,0.825,105.778,2PEBsyLqTdWbsb5I6EpqMa,133520,4
0.544,0.843,1,-5.052,1,0.0942,0.126,0.0,0.357,0.796,168.044,1nUeBKMsacPjvE3aczMHnG,218487,4
0.504,0.977,7,-4.968,1,0.067,0.00928,0.0,0.269,0.531,101.268,55CdJt5NnG07dKs3wrdduv,149333,4
0.618,0.737,1,-5.683,1,0.142,0.00506,1.56e-06,0.186,0.512,79.235,5ZsjDfALqeCuvWRWQzMgPT,221520,4
0.539,0.915,1,-3.221,1,0.0367,0.00268,2.93e-06,0.0667,0.641,147.974,1WBCYWcYg3ioGK3mlt0JD1,203187,4
0.463,0.981,10,-3.922,1,0.18,7.37e-05,0.0,0.102,0.703,153.048,4DJLcyfnyEGlUejAEAX4az,222560,4
0.568,0.971,7,-3.478,1,0.0543,0.0518,4.24e-05,0.265,0.778,139.27,07qJ3q0PCBU1uVI6sL4JWX,241333,4
0.614,0.901,0,-4.906,1,0.0666,0.0267,1.94e-06,0.261,0.636,94.865,5zsePddkJkLpwUzP4YBGMK,298533,4
0.626,0.715,11,-4.023,1,0.058,0.119,5.16e-06,0.124,0.573,135.034,1rdkG7R3dHS2RI4Akk00zq,234213,4
0.551,0.965,0,-2.772,1,0.0452,0.00576,0.0,0.171,0.708,137.841,4qjfQnccStTR8zNsb6Mizo,168227,4
0.399,0.838,4,-6.679,1,0.102,0.00127,0.0,0.576,0.747,116.911,60Ih7J2Q1o9shvMC2OAALu,191293,4
0.531,0.833,9,-3.322,1,0.0341,0.00354,0.0,0.11,0.458,121.006,5e98T1c3DO4dJWpPufhHTy,261547,4
0.459,0.913,7,-3.903,1,0.048,0.000342,0.00113,0.124,0.806,177.984,1lXgfyQsOfwtGE26Hh9jXb,137080,4
0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,3kZC0ZmFWrEHdUCmUqlvgZ,189187,4
0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,0mJQlCl9YgxW7kyeltNiVk,350862,4
0.279,0.902,9,-6.321,1,0.0988,0.121,0.274,0.104,0.482,89.392,53T9Fc3HDEaLaB90oEDEvb,170413,4
0.802,0.691,6,-6.973,0,0.0466,0.0989,2.29e-06,0.277,0.452,97.021,0VcWp30A3hSJrPjdDEHeNE,154507,4
0.462,0.538,0,-5.527,1,0.059,0.0137,0.0,0.429,0.405,139.256,1BECwm5qkaBwlbfo4kpYx8,203507,4
0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,02lTDOxHeXTHsdwXoz6lpC,299507,4
0.686,0.568,2,-6.196,1,0.0568,0.12,0.0,0.0991,0.486,122.969,1sV6bR42OhPi2PL7ZPHLNi,274507,4
0.508,0.673,7,-4.581,1,0.0335,0.103,0.0,0.097,0.633,80.959,0M2esSxcdB6gTEeXYg7Ynq,245093,4
0.68,0.666,9,-6.953,1,0.115,0.0694,0.0,0.157,0.789,151.995,1SLWLZPU1gP4UbJ7RniOFq,222920,4
0.588,0.833,10,-5.875,1,0.0298,0.0157,0.0,0.0828,0.31,117.997,4YHMkY9mrGvHN9PRhrCb2J,269009,4
0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108,24CRDgNOgA72JLL7PHFjgB,227200,4
0.218,0.921,7,-4.414,1,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,1PRknVhZ6BsVX61MPrrVsV,166733,4
0.479,0.892,9,-5.167,1,0.0561,0.000295,6.31e-05,0.067,0.416,156.086,1bvbL0HbprbpwmzwaZczr2,199707,4
0.565,0.947,0,-4.941,1,0.0479,0.000348,0.0,0.399,0.587,100.002,4M4taWkQGn3FcbH6tnH6mx,200360,4
0.58,0.93,2,-5.17,1,0.0618,0.00236,5.5e-05,0.0768,0.285,106.022,28yCMEplHbodvR19Aipah8,263573,4
0.541,0.889,9,-3.997,1,0.049,0.00642,1.71e-05,0.02,0.902,167.995,29bWDkf8qtCmsvDWOW55CJ,206867,4
0.261,0.822,2,-8.288,1,0.0358,0.000124,0.000344,0.0919,0.32,103.213,3gVXAW2pduBl7tzjAGUVRb,194960,4
0.723,0.973,4,-4.228,1,0.108,0.0238,0.0265,0.971,0.448,95.351,4Cc3EFF6p3P6sP3zHRKzbv,182760,4
0.782,0.752,7,-8.059,1,0.16,0.098,0.0,0.0764,0.505,92.791,6dm85wL8pJKTPcNvuCgFcy,186507,4
0.486,0.573,0,-8.695,1,0.038,0.056,0.0,0.143,0.904,98.424,7rDOSQkStxj28M4GRM6Xbs,220693,4
0.481,0.88,4,-1.108,1,0.176,0.00305,0.642,0.13,0.961,156.859,55mKuESqpfgqe0kooIkTH2,151960,4
0.371,0.549,9,-7.796,1,0.0339,0.0107,0.0,0.203,0.281,105.111,725Fnv5ds0T4FnenbzD2td,109533,4
0.466,0.96,0,-3.888,1,0.0543,0.000481,0.0,0.37,0.907,104.753,7bFNtX22XJMy5TuEpQfa3C,123000,4
0.527,0.329,9,-8.83,1,0.0291,0.825,0.0,0.335,0.128,104.977,2i17YXd93A17BSsut23gEa,240507,3
0.56,0.404,5,-8.817,1,0.0357,0.21,0.00049,0.197,0.157,145.612,1JyG5yuwpN0VIi4wbqvDfB,177533,4
0.622,0.45,0,-6.304,0,0.0274,0.518,0.0,0.143,0.178,137.931,7aLtOxVOUahFU8fO25hWoH,236347,4
0.708,0.674,11,-7.434,1,0.107,0.137,0.0,0.258,0.736,152.051,4Dmav01B2Fra0U4VYPPq4d,180902,4
0.494,0.553,5,-5.57,1,0.197,0.413,4.17e-05,0.218,0.359,82.061,0fVDu1evgjX9CFD0cmuRrM,172756,4
0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,2DB4DdfCFMw1iaR6JaR03a,206071,4
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,1QEEqeFIZktqIpPI4jSVSF,285133,4
0.577,0.688,6,-8.735,1,0.032,0.109,2.78e-06,0.0788,0.843,81.032,19nAFg6Mb6jXN3yxPC2sSk,225080,4
0.494,0.936,11,-7.195,0,0.0398,0.0112,0.000693,0.276,0.834,107.543,5EugXICXL06waHgP4iTI58,224480,4
0.419,0.783,5,-14.785,1,0.0577,0.00161,0.00048,0.107,0.702,193.196,3HA8pLvjBGoBpDJbaLjFNo,130133,4
0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766,0oUBuOO4g9P4lREqfqR5nq,203133,4
0.477,0.74,9,-5.397,1,0.0446,0.502,1.31e-06,0.263,0.56,107.384,1hJrWWK74fKL7eeV3CFOvF,266560,4
0.402,0.691,7,-10.274,1,0.0691,0.0679,0.133,0.0955,0.206,96.95,2eDdFHgqNJltzlvlZFVDWd,290934,4
0.667,0.605,5,-5.683,1,0.0258,0.504,0.014,0.246,0.69,94.346,4OSZGBSgURF74RO0dRA8HY,263960,4
0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,77oU2rjC5XbjQfNe3bD6so,265173,4
0.57,0.798,2,-6.136,1,0.036,0.079,2.87e-05,0.086,0.149,105.001,5X3idhF42DgoGVn7zgCNQi,302040,4
0.418,0.383,4,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773,5jafMI8FLibnjkYTZ33m0c,257480,4
0.688,0.284,4,-13.577,1,0.0574,0.359,0.0,0.127,0.482,83.433,0eifvmNPHWaSh4IKNR4Xva,208080,4
0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174,1ru5R5iSawvuMELqKXxLjS,194760,4
0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676,3LI4MmibTkXH5cGpCGZgyw,241840,4
0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,5g7rJvWYVrloJZwKiShqlS,278373,4
0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,2ihCaVdNZmnHZWt0fvAM7B,266600,4
0.486,0.769,1,-5.14,1,0.0341,0.0119,0.00832,0.197,0.393,131.286,4kbYevkszYmMhoQcwnR7cZ,276720,4
0.379,0.878,1,-4.338,0,0.0359,0.042,0.00431,0.146,0.381,102.023,3SPVZJzf1Hs30rB6yXVf2y,211453,4
